Attribute,Group,Count,Percent,
LOCATION,"New York, USA",4,+0.17%,
LOCATION,#RiseUp,1,+0.04%,
LOCATION,"London, United Kingdom",1,+0.04%,
LOCATION,Illinois -- indiana -- dc,1,+0.04%,
LOCATION,"Brooklyn, NY",9,+0.39%,
LOCATION,"38.90238,-77.053065",1,+0.04%,
LOCATION,"Washington, D.C. // Texas",1,+0.04%,
LOCATION,"New York, NY",31,+1.34%,
LOCATION,Dc,2,+0.09%,
LOCATION,"Baltimore, MD",7,+0.30%,
LOCATION,Baltimore,1,+0.04%,
LOCATION,"Capitol Hill, DC",1,+0.04%,
LOCATION,"Washington, DC/ Marriotts ",1,+0.04%,
LOCATION,"Washington, D.C., USA",2,+0.09%,
LOCATION,Running between the wickets,1,+0.04%,
LOCATION,"Arlington, Va.",8,+0.35%,
LOCATION,The White House+points afield,1,+0.04%,
LOCATION,"ÜT: 40.57206,-74.327759",1,+0.04%,
LOCATION,Depends on the Day,1,+0.04%,
LOCATION,District of Columbia ,1,+0.04%,
LOCATION,New York City,4,+0.17%,
LOCATION,Instagram,1,+0.04%,
LOCATION,Location: DC,1,+0.04%,
LOCATION,"Annandale, VA; Washington, DC",1,+0.04%,
LOCATION,"Washington, D.C. via Drogheda",1,+0.04%,
LOCATION,NV → DC,1,+0.04%,
LOCATION,DC ,1,+0.04%,
LOCATION,D.C.,8,+0.35%,
LOCATION,"Miami, FL",1,+0.04%,
LOCATION,Washington ,3,+0.13%,
LOCATION,The trough of disillusionment.,1,+0.04%,
LOCATION,"D.C., via Karachi & New Haven.",1,+0.04%,
LOCATION,"Atlanta, GA",3,+0.13%,
LOCATION,"Washington, d.c.",4,+0.17%,
LOCATION,"Martinsburg, WV",1,+0.04%,
LOCATION,District of Columbia,8,+0.35%,
LOCATION,DC via rural Illinois,1,+0.04%,
LOCATION,"East Dover, VT",1,+0.04%,
LOCATION,"Washington DC, Pale Blue Dot",1,+0.04%,
LOCATION,"ÜT: 38.895844,-77.007033",1,+0.04%,
LOCATION,"Washington, D.C.  ",1,+0.04%,
LOCATION,Somewhere deep in Ohio,1,+0.04%,
LOCATION,"Hamburg, Germany",1,+0.04%,
LOCATION,NYC,2,+0.09%,
LOCATION,"Petworth, Washington DC",1,+0.04%,
LOCATION,New York ,1,+0.04%,
LOCATION,"Washington, USA",1,+0.04%,
LOCATION,AJE Washington DC,1,+0.04%,
LOCATION,"ÜT: 38.879163,-77.015666",1,+0.04%,
LOCATION,Washington/New York,1,+0.04%,
LOCATION,New York NY ,1,+0.04%,
LOCATION,"Washington DC, America",1,+0.04%,
LOCATION,Copp.tara@stripes.com,1,+0.04%,
LOCATION,Where the news takes me,1,+0.04%,
LOCATION,1111 North Capitol NE,1,+0.04%,
LOCATION,Washington dc,3,+0.13%,
LOCATION,"Your radio, every day",1,+0.04%,
LOCATION,"Frederick, MD",2,+0.09%,
LOCATION,"Washington, D.C., and Missouri",1,+0.04%,
LOCATION,Blakesobczak at protonmail com,1,+0.04%,
LOCATION,"London, UK",1,+0.04%,
LOCATION,London,3,+0.13%,
LOCATION,Los Angeles,2,+0.09%,
LOCATION,Ajchavar.com,1,+0.04%,
LOCATION,"New York, NY via Boston, MA",1,+0.04%,
LOCATION,New york city,1,+0.04%,
LOCATION,Washington D.C,2,+0.09%,
LOCATION,"Oakland, CA",1,+0.04%,
LOCATION,US,2,+0.09%,
LOCATION,"ABC7 News Washington, DC",1,+0.04%,
LOCATION,"Silver Spring, MD",1,+0.04%,
LOCATION,"Rockville, Maryland USA",1,+0.04%,
LOCATION,HR - MGQ - LHR - DC.,1,+0.04%,
LOCATION,"Casper, WY",1,+0.04%,
LOCATION,"Columbus, Ohio",1,+0.04%,
LOCATION,"Wimberley, Texas",1,+0.04%,
LOCATION,D.C./Northern VA/Maryland,1,+0.04%,
LOCATION,"Washington, D. C.",2,+0.09%,
LOCATION,"Bedford, NH / Washington, DC",1,+0.04%,
LOCATION,Maryland,5,+0.22%,
LOCATION,Virginia,3,+0.13%,
LOCATION,"Virginia, USA",1,+0.04%,
LOCATION,"Capitol Hill, Washington",2,+0.09%,
LOCATION,D.C. ,1,+0.04%,
LOCATION,"Arlington, Va",1,+0.04%,
LOCATION,"Annandale, VA",1,+0.04%,
LOCATION,"Memphis, TN",1,+0.04%,
LOCATION,"Derwood, MD",1,+0.04%,
LOCATION,"Los Angeles, CA",8,+0.35%,
LOCATION,"Washington DC, Atlanta GA",1,+0.04%,
LOCATION,Capitol Hill ,1,+0.04%,
LOCATION,"Fredericksburg, VA",1,+0.04%,
LOCATION,Northern Virginia,3,+0.13%,
LOCATION,On the leading edge of life,1,+0.04%,
LOCATION,Kstewart@wtop.com,1,+0.04%,
LOCATION,The luminiferous aether,1,+0.04%,
LOCATION,"Washington, DC via PA & OH",1,+0.04%,
LOCATION,Wash DC,1,+0.04%,
LOCATION,"Fairfax County, Virginia",1,+0.04%,
LOCATION,Washington D.C. USA,1,+0.04%,
LOCATION,"Maryland, USA",3,+0.13%,
LOCATION,Washington DC ,3,+0.13%,
LOCATION,"DC, MD, VA ",1,+0.04%,
LOCATION,Redacted,1,+0.04%,
LOCATION,"Washington, dc",5,+0.22%,
LOCATION,"Washington, D.C. area",2,+0.09%,
LOCATION,Wasington D.C.,1,+0.04%,
LOCATION,"Potomac, MD",1,+0.04%,
LOCATION,"Ogden, UT",1,+0.04%,
LOCATION,D.C. Metro Area,2,+0.09%,
LOCATION,DC | NY,1,+0.04%,
LOCATION,"Georgia, USA",1,+0.04%,
LOCATION,"Washington, DC / nomad",1,+0.04%,
LOCATION,Kwong@breitbart.com,1,+0.04%,
LOCATION,San Francisco Bay Area,1,+0.04%,
LOCATION,"#Washington, #DC ",1,+0.04%,
LOCATION,Global,1,+0.04%,
LOCATION,"London, England",4,+0.17%,
LOCATION,"ÜT: 38.915848,-77.03604",1,+0.04%,
LOCATION,"Bowie, MD",1,+0.04%,
LOCATION,"Washington, DC * Missing NYC",1,+0.04%,
LOCATION,"Madison, WI",1,+0.04%,
LOCATION,DFW,1,+0.04%,
LOCATION,"Annapolis, MD",1,+0.04%,
LOCATION,D.C. | Middlebury | London,1,+0.04%,
LOCATION,Inside the beltway,1,+0.04%,
LOCATION,The Green Mountains,1,+0.04%,
LOCATION,"Washington, DC/Northern VA",1,+0.04%,
LOCATION,DC/Scenic Silver Spring,1,+0.04%,
LOCATION,DCA to SFO,1,+0.04%,
LOCATION,"ÜT: 39.149989,-77.154816",1,+0.04%,
LOCATION,**likely tracking protests,1,+0.04%,
LOCATION,"Washington, D.C",2,+0.09%,
LOCATION,"Washington, DC/Brooklyn, NY",1,+0.04%,
LOCATION,"Takoma Park, MD",1,+0.04%,
LOCATION,N.J.,1,+0.04%,
LOCATION,Now in D.C.,1,+0.04%,
LOCATION,N.C. or D.C.,1,+0.04%,
LOCATION,Davidson or D.C.,1,+0.04%,
LOCATION,"Mclean, VA",1,+0.04%,
LOCATION,"Washington, DC area",2,+0.09%,
LOCATION,Montréal Canada.,1,+0.04%,
LOCATION,Voice of America,2,+0.09%,
LOCATION,"505, 202",1,+0.04%,
LOCATION,"Orlando, FL",1,+0.04%,
LOCATION,"UNHQ, New York",1,+0.04%,
LOCATION,"In and around Washington, D.C.",1,+0.04%,
LOCATION,Washington DC metro,1,+0.04%,
LOCATION,Rhode Island,1,+0.04%,
LOCATION,"Alexandria, VA",5,+0.22%,
LOCATION,"Philadelphia, PA",2,+0.09%,
LOCATION,"Boston, MA",1,+0.04%,
LOCATION,"DC, MD",1,+0.04%,
LOCATION,RTs & links ≠ endorsements,1,+0.04%,
LOCATION,"Las Vegas, NV",1,+0.04%,
LOCATION,Ny/la/rva,1,+0.04%,
LOCATION,"Miami Beach, FL",1,+0.04%,
LOCATION,"Fairfax Station, Va",1,+0.04%,
LOCATION,"ÜT: 38.985841,-77.471224",1,+0.04%,
LOCATION,The nation's capital,1,+0.04%,
LOCATION,"ÜT: 38.892696,-77.044914",1,+0.04%,
LOCATION,"DuPont Circle, Washington, DC",1,+0.04%,
LOCATION,UK,1,+0.04%,
LOCATION,The Swamp,1,+0.04%,
LOCATION,Earth ,1,+0.04%,
LOCATION,"Mostly DC, sometimes CA",1,+0.04%,
LOCATION,"ÜT: 38.922219,-77.031428",1,+0.04%,
LOCATION,NJ-NY,1,+0.04%,
LOCATION,Here and There,1,+0.04%,
LOCATION,"Washington, D.C., and around.",1,+0.04%,
LOCATION,Sometimes Washington D.C,1,+0.04%,
LOCATION,Al Jazeera English ,1,+0.04%,
LOCATION,ABC News Pentagon,1,+0.04%,
LOCATION,"Kensington, MD",1,+0.04%,
LOCATION,Here for now,1,+0.04%,
LOCATION,TX → DC,1,+0.04%,
LOCATION,"CNN, Washington, DC",1,+0.04%,
LOCATION,"ÜT: 38.900063,-77.008976",1,+0.04%,
LOCATION,"Seattle, WA",1,+0.04%,
LOCATION,"Washington, D.C./Maryland",1,+0.04%,
LOCATION,"Washington, DC, USA",4,+0.17%,
LOCATION,NYC | Former DC & Miami ,1,+0.04%,
LOCATION,The Matrix,1,+0.04%,
LOCATION,The District,2,+0.09%,
LOCATION,"ÜT: 38.900076,-77.008962",1,+0.04%,
LOCATION,Fox News Radio,1,+0.04%,
LOCATION,"Washington, DC.",1,+0.04%,
LOCATION,Washington DC metro area,1,+0.04%,
LOCATION,"Maryland/Washington, D.C.",1,+0.04%,
LOCATION,PA,1,+0.04%,
LOCATION,Your Nation's Capitol,1,+0.04%,
LOCATION,Displaced New Yorker,1,+0.04%,
LOCATION,"Austin, Texas & San Diego",1,+0.04%,
LOCATION,"Washington, DC | New York, NY ",1,+0.04%,
LOCATION,"Washington, DC, U.S.A. ",1,+0.04%,
LOCATION,"Rome, Lazio",1,+0.04%,
LOCATION,Brooklyn,1,+0.04%,
LOCATION,"ÜT: 17.536681,-99.495555",1,+0.04%,
LOCATION,"Kansas City, MO",1,+0.04%,
LOCATION,D.C. via Baton Rouge,1,+0.04%,
LOCATION,"Durham, N.C.",1,+0.04%,
LOCATION,"Washington, DC, & Atlanta, GA",1,+0.04%,
LOCATION,DMV,1,+0.04%,
LOCATION,"Washington DC, Chicago, ROME",1,+0.04%,
LOCATION,"North Beach, MD",1,+0.04%,
LOCATION,"Washington, DC | #CapitalCity",1,+0.04%,
LOCATION,"Washington, D.C. & Seattle",1,+0.04%,
LOCATION,"Beast Belly, DC ",1,+0.04%,
LOCATION,"Arlington, Virginia",3,+0.13%,
LOCATION,NPR News,1,+0.04%,
LOCATION,"Washington DC, N.E.",1,+0.04%,
LOCATION,Washington DC region,1,+0.04%,
LOCATION,I wander...,1,+0.04%,
LOCATION,"Manhattan, NY",1,+0.04%,
LOCATION,Breanna.edwards@theroot.com,1,+0.04%,
LOCATION,Marine Corps Times,1,+0.04%,
LOCATION,Nepal,1,+0.04%,
LOCATION,"Washington, DC and airports",1,+0.04%,
LOCATION,Eastern Market,1,+0.04%,
LOCATION,California ✈ Washington DC ,1,+0.04%,
LOCATION,"Chapel Hill, NC",1,+0.04%,
LOCATION,@GarneyG,1,+0.04%,
LOCATION,"ÜT: 38.81626,-77.078307",1,+0.04%,
LOCATION,DC/Chapel Hill/Berlin,1,+0.04%,
LOCATION,"Washington D.C., mostly",1,+0.04%,
LOCATION,Pacing in Capitol (ARK - DC),1,+0.04%,
LOCATION,"Bethesda, Maryland",2,+0.09%,
LOCATION,Washington d.c.,1,+0.04%,
LOCATION,DC usually. MSP occasionally.,1,+0.04%,
LOCATION,"Washington, D.C. / Tampa Bay",1,+0.04%,
LOCATION,Washington | New York,1,+0.04%,
LOCATION,Reuters Washington bureau,1,+0.04%,
LOCATION,Washington D.C. and Jupiter Fl,1,+0.04%,
LOCATION,"Raleigh, NC",1,+0.04%,
LOCATION,Maine/NoVa/WDW,1,+0.04%,
LOCATION,Irishman in Washington,1,+0.04%,
LOCATION,Washington/Virginia ,1,+0.04%,
LOCATION,"Fairfax, VA",1,+0.04%,
LOCATION,Washington & beyond,1,+0.04%,
LOCATION,"Maryland/Washington, DC",1,+0.04%,
LOCATION,"Washington, DC  ",1,+0.04%,
LOCATION,DC via The Mitten,1,+0.04%,
LOCATION,DC/Baltimore,1,+0.04%,
LOCATION,The District of Columbia,1,+0.04%,
LOCATION,Dherszenhorn@politico.eu,1,+0.04%,
LOCATION,"Springfield, Va.",1,+0.04%,
LOCATION,"New Jersey, USA",1,+0.04%,
LOCATION,"Brussels, Belgium",1,+0.04%,
LOCATION,NW DC,1,+0.04%,
LOCATION,"Arlington, Virginia, USA",1,+0.04%,
LOCATION,Based in Annapolis & Covers DC,1,+0.04%,
LOCATION,DC via NJ/VA,1,+0.04%,
LOCATION,DC (via the Granite State),1,+0.04%,
LOCATION,OC—Bay—Chicago—DC,1,+0.04%,
LOCATION,"Washington, DC Metro",1,+0.04%,
LOCATION,"Salisbury, MD",1,+0.04%,
LOCATION, NYC / DC,1,+0.04%,
LOCATION,NYC / DC,1,+0.04%,
LOCATION,YWG to DCA,1,+0.04%,
LOCATION,NE DC ,1,+0.04%,
LOCATION,"Trinidad, NE DC ",1,+0.04%,
LOCATION,"Vienna, VA",1,+0.04%,
LOCATION,Arlington VA,1,+0.04%,
LOCATION,"Alexandria, Va.",1,+0.04%,
LOCATION,"Washington, D.C. metro area",1,+0.04%,
LOCATION,Washington/Princeton,1,+0.04%,
LOCATION,Washington.dc/clarke county.va,1,+0.04%,
LOCATION,Laurenmorello@protonmail.com,1,+0.04%,
LOCATION,"In D.C., native of L.A. ",1,+0.04%,
LOCATION,"Washington, D.C./Denver",1,+0.04%,
LOCATION,"Bethesda, MD.",1,+0.04%,
LOCATION,"Laurel, MD/Washington, D.C.",1,+0.04%,
LOCATION,Boston and D.C.,1,+0.04%,
LOCATION,"Bethesda, MD",1,+0.04%,
LOCATION,"Washington, D.C. / eenews.net",1,+0.04%,
LOCATION,Silver Spring MD,1,+0.04%,
LOCATION,Wandering,1,+0.04%,
LOCATION,"Silver Spring, Md.",1,+0.04%,
LOCATION,"Berlin, Germany",2,+0.09%,
LOCATION,"Paris, France",1,+0.04%,
LOCATION,N 51°25' 0'' / W 0°12' 0'',1,+0.04%,
LOCATION,"Bengaluru, India",1,+0.04%,
LOCATION,Toronto,1,+0.04%,
LOCATION,Dee Cee personal views,1,+0.04%,
LOCATION,"D.C., personal views",1,+0.04%,
LOCATION,D.C. or ✈️,1,+0.04%,
LOCATION,"Shady Side, Md.",1,+0.04%,
LOCATION,"Washington,D.C. ",2,+0.09%,
LOCATION,"D.C., No.Va.",1,+0.04%,
LOCATION,"Outside Washington, D.C.",1,+0.04%,
LOCATION,"Denver, CO",1,+0.04%,
LOCATION,McLean Va./Silver Spring Md.,1,+0.04%,
LOCATION,"Baltimore, MD USA",1,+0.04%,
LOCATION,Washington. DC,1,+0.04%,
LOCATION,"Paris, Ile-de-France",1,+0.04%,
LOCATION,"McLean, VA",1,+0.04%,
LOCATION,John.shiffman@reuters.com,1,+0.04%,
LOCATION,"Montevideo, Uruguay",1,+0.04%,
LOCATION,"Brookland, Washington, DC",1,+0.04%,
LOCATION,"Washington Bureau, Newsday",1,+0.04%,
LOCATION,"College Park, Baltimore, DC",1,+0.04%,
LOCATION,Instagram.com/victoriastmartin,1,+0.04%,
LOCATION,Victoria@vstmartin.com,1,+0.04%,
LOCATION,"Seoul, Republic of Korea",1,+0.04%,
LOCATION,Washington DC or thereabouts,1,+0.04%,
LOCATION,DC. ,1,+0.04%,
LOCATION,"Dublin City, Ireland",1,+0.04%,
LOCATION,"Shanghai, People's Republic of China",1,+0.04%,
LOCATION,"Washington DC, USA ",1,+0.04%,
LOCATION,WASHINGTON,1,+0.04%,
LOCATION,Beijing,1,+0.04%,
LOCATION,"Greater Washington, DC area",1,+0.04%,
LOCATION,"Westminster, MD",1,+0.04%,
LOCATION,"New York, Peaks Island, Jersey City and the ferries in between.",1,+0.04%,
LOCATION,Topside. ,1,+0.04%,
LOCATION,"    Washington, D.C.",1,+0.04%,
LOCATION,"ÜT: 49.279186,-123.035336",1,+0.04%,
LOCATION,"USA TODAY, McLean, VA",1,+0.04%,
LOCATION,Land of Food and Wine,1,+0.04%,
LOCATION,"New York, Washington",1,+0.04%,
LOCATION,"Washington, DC / Indianapolis",1,+0.04%,
LOCATION,DC Metro,1,+0.04%,
LOCATION,Washington - Paris,1,+0.04%,
LOCATION,"ÜT: 39.054624,-77.087734",1,+0.04%,
LOCATION,Kaboul,1,+0.04%,
LOCATION,No Value,307,+13.25%,
IS_VERIFIED,1,1241,+53.56%,
IS_VERIFIED,No Value,1076,+46.44%,
