AkronNewsReport,103097161
ArvadaPress,1927960976
AspenDailyNews,228591530
TheAspenTimes,46177840
aurorasentinel,29295613
FairplayFlume,52239739
berthoudrecordr,22489437
bizwestmedia,18648358
boulderweekly,15948180
coloradodaily,14522630
dailycamera,14504258
BrightonBlade,31908735
bfld_enterprise,14522447
ChaffeeCoTimes,373455322
BrlingtonRecord,103905894
CCDR_news,227386410
SoprisSun,429502012
CSBizJournal,24004213
csgazette,12837932
csindependent,54121550
SouthSideBiz,47010452
HighTimberTimes,325781532
TheJournalCO,540352897
craigdailypress,22484884
ColoStatesman,209138950
denbizjournal,23274387
denverpost,8216772
DUS_Tweets,70148142
DenverVOICE,494380280
LaPrensadeCO,1375434439
DenverWestword,17451031
DurangoHerald,16519670
DgoTelegraph,985723544
VailDaily,15690738
CoHoWeekly,297656441
EPTrailGazette,103075501
coloradoan,15691595
FortMorganTimes,103914711
FowlerTribune,137445528
SummitDailyNews,36978283
GlenwoodPI,2496996247
DailySentinelGJ,19594500
FencePostNews,54330083
GreeleyTribune,15770273
VillagerDenver,115174689
gunnisontimes,27018040
The_JT_Breeze,1115008843
JlsburgAdvocate,103921629
LaJuntaTD,603059797
LamarLedger,103056533
prowersjournal,215990827
northfortynews,285872649
BentCountyDemoc,776323387
LeadvilleHerald,370914933
LimonLeader,2873857441
ChrisRotar,337441236
TimesCall,20104506
reporterherald,17141766
LyonsRecorder,124502667
montrosepress,24292383
SunshineXNews,153474633
ocplaindealer,466170799
highcountrynews,16017472
ChieftainNews,29466736
HeraldTimes,38601490
TheMtnMail,362564496
SnowmassSun,615380245
steamboatpilot,13100572
SP_Sentinel,1160775750
SterlingJA,102806255
TelluridePlanet,259405469
watchnewspapers,18781979
WindsorBeacon,32488550
WindsorNow,24223439
TMountainJ,513872614
RMCollegian,2982226612
flcindependent,246147218
TheMetOnline,87818432
DUClarion,22217634
KKTV11News,18951956
KRDONC13,16296575
FOX21News,21233136
ColoPublicTV,14985677
CBSDenver,16313592
KDVR,18777618
DenverChannel,8731312
rmpbs,9979202
Daystar,31201173
9NEWS,19032473
channel2kwgn,56878013
